X,Y,OBJECTID,island,area,name,address,zipcode,type,units,year_open
-159.469558928389,21.8802060625527,146,Kauai,Koloa,Whaler's Cove at Poipu,2640 Puuholo Road,96756,CONDOMINIUM HOTEL,31,1993
-156.42983051319,20.7013643856827,147,Maui,Kihei,Hale Manu Mele,3230 Kehala Dr 5k,96753,BED & BREAKFAST,2,
-155.994367475328,20.7088854301592,148,Maui,Hana,Hana Aloha Hale,6820 Hana Hy,96713,BED & BREAKFAST,2,1997
-159.353455410865,21.9641063120745,149,Kauai,Lihue,Marriott's Kauai Beach Club,3610 Rice Street,96766,TIMESHARE,232,1987
-159.353455410865,21.9641063120745,150,Kauai,Lihue,Kauai Marriott Resort,3610 Rice Street,96766,HOTEL,356,1987
-159.343523183523,21.9622576966216,151,Kauai,Lihue,Marriott's Kauai Lagoons Kalanipu‘u,3325 Holokawelu Way,96766,TIMESHARE,75,2010
-158.119716711048,21.3318980310816,152,Oahu,Kapolei,Marriott's Ko Olina Beach Club,92-161 Waipahe Place,96707,TIMESHARE,560,2003
-156.694839811527,20.9174438817394,153,Maui,Lahaina,Marriott's Maui Ocean Club,100 Nohea Kai Drive,96761,TIMESHARE,311,1982
-156.694839811527,20.9174438817394,154,Maui,Lahaina,Marriott's Maui Ocean Club Sequel,100 Nohea Kai Drive,96761,TIMESHARE,148,1982
-159.459182574012,21.8784089577833,155,Kauai,Koloa,Marriott's Waiohai Beach Club,2249 Poipu Road,96756,TIMESHARE,238,2003
-155.883750530444,19.9168050083717,156,Hawaii,Waikoloa,Waikoloa Beach Marriott Resort & Spa,69-275 Waikoloa Beach Drive,96738,HOTEL,295,1981
-155.883750530444,19.9168050083717,157,Hawaii,Waikoloa,Marriott's Waikoloa Ocean Club,69-275 Waikoloa Beach Drive,96738,TIMESHARE,112,1981
-159.468594929942,22.2219210854261,158,Kauai,Princeville,Westin Princeville Ocean Resort Villas,3838 Wyllie Road,96722,TIMESHARE,358,2008
-156.69104899982,20.936168991215,159,Maui,Lahaina,Westin Kaanapali Ocean Resort Villas,6 Kai Ala Drive,96761,TIMESHARE,1021,2005
-156.689711278167,20.9428305677142,160,Maui,Lahaina,Westin Nanea Ocean Villas,45 Kai Malina Pkwy,96761,TIMESHARE,390,2017
-157.837495500198,21.2823900002177,161,Oahu,Honolulu,Hilton Grand Waikikian Vacation Suites,2005 Kalia Road,96815,TIMESHARE,331,2001
-157.830299999802,21.2800589997932,162,Oahu,Honolulu,Hokulani Waikiki by Hilton Grand Vacations,2181 Kalakaua Avenue,96815,TIMESHARE,143,2013
-157.837495500198,21.2823900002177,163,Oahu,Honolulu,Hilton Hawaiian Village Kalia Tower,2005 Kalia Road,96815,TIMESHARE,72,2001
-159.332856566455,22.0517152827924,164,Kauai,Kapaa,Hale Awapuhi,366 Papaloa Road,96746,INDIVIDUAL VACATION UNIT,7,1989
-159.332335540026,22.0519852620424,165,Kauai,Kapaa,Kapaa Sands,380 Papaloa Road,96746,INDIVIDUAL VACATION UNIT,23,1968
-155.978382212966,19.6095092189254,166,Hawaii,Kailua-Kona,Kona Nalu,76-6212 Alii Drive,96740,INDIVIDUAL VACATION UNIT,10,1980
-155.981902707413,19.6143376613442,167,Hawaii,Kailua-Kona,Kona Riviera,75-6124 Alii Drive,96740,INDIVIDUAL VACATION UNIT,9,1970
-155.027062677418,19.732765859157,168,Hawaii,Hilo,MaunaLoa Shores,1875 Kalanianaole Avenue,96720,INDIVIDUAL VACATION UNIT,45,
-159.468618241137,22.2218547811327,169,Kauai,Princeville,Puamana,3880 Wyllie Road,96722,INDIVIDUAL VACATION UNIT,43,1985
-155.985156994283,19.622000034204,170,Hawaii,Kailua-Kona,Sea Village,75-6002 Alii Drive,96740,TIMESHARE,119,1975
-155.872507185709,19.9299881292528,171,Hawaii,Kohala Coast,Golf Villas at Mauna Lani,68-1122 Na Ala Hele Road,96743,INDIVIDUAL VACATION UNIT,72,2007
-155.985156994283,19.622000034204,172,Hawaii,Kailua-Kona,Sea Village,75-6002 Alii Drive,96740,INDIVIDUAL VACATION UNIT,119,1975
-155.794614999555,19.1006100001326,173,Hawaii,Captain Cook,A Beautiful Edge of the World B&B,PO Box 888,96704,BED & BREAKFAST,3,1999
-156.452634093824,20.7667373767423,174,Maui,Kihei,A Piece Of Paradise,201 Hoopili Akau St,96753,BED & BREAKFAST,2,2015
-156.312875792884,20.9042236659936,175,Maui,Haiku,Aloha Hookipa Bayview Cottage,1250 Kauhikoa Road,96708,BED & BREAKFAST,1,2001
-156.427231226929,20.6925235788398,176,Maui,Kihei,Auntie Kali's Cottage,530 Kumulani Dr 5k,96753,BED & BREAKFAST,1,2013
-157.732189353767,21.3929002759115,177,Oahu,Kailua,Finn's Bed & Breakfast,226 Pouli Road,96734,BED & BREAKFAST,2,1985
-156.483207163537,20.9010648502576,178,Maui,Wailuku,Hale Anuhea Kai,679 Pio Dr 4O,96793,BED & BREAKFAST,2,2019
-156.320350351004,20.7694764244274,179,Maui,Kula,Halekalani,505 Kamehameiki Road,96790,BED & BREAKFAST,1,2015
-156.318907582834,20.7890683846202,180,Maui,Kula,Hale Kiana,116 Mano Dr,96790,BED & BREAKFAST,2,2016
-156.453322322636,20.7615434036871,181,Maui,Kihei,Hibiscus Hideaway,11 Waikalani Hema Pl,96753,BED & BREAKFAST,4,
-156.345787525546,20.8863345194269,182,Maui,Makawao,Lumeria Maui,1813 Baldwin Avenue,96768,OTHER,24,
-155.852592208668,20.077931271293,183,Hawaii,Kamuela,Makai Hale Bed & Breakfast,59-411 Pupu Place,96743,BED & BREAKFAST,2,1991
-156.448084846469,20.7292681760647,184,Maui,Kihei,Maui Garden Cottage,117 Auhana Road,96753,BED & BREAKFAST,1,2010
-156.284185438628,20.916420312431,185,Maui,Haiku,Maui Tradewinds,4320 Une Place,96708,BED & BREAKFAST,3,1998
-156.300128550255,20.9213152275959,186,Maui,Haiku,Peahi Point B&B,300 Hahana Rd 7g,96708,BED & BREAKFAST,6,
-156.683230619238,20.8979550520192,187,Maui,Lahaina,The Guest House,1620 Ainakea Road,96761,BED & BREAKFAST,5,1985
-156.284927239419,20.9216604786612,188,Maui,Haiku,Tranquil Palms B&B,4356 Opana Pl,96708,BED & BREAKFAST,4,
